DesignVariation : bigCavity_x='25mm' bigCavity_y='10.5mm' bigCavity_z='1.5799999999999998mm' bigCavity_z0='8mm' bottom_z='9.5800000000000001mm' Cavity_Cap_Z='1.8999999999999999mm' cavityFeedMiddle_x='4mm' cavityFeedMiddle_y='6.0999999999999996mm' cavityFeedMiddle_z='3mm' cavityFeedMiddle_z0='5mm' cavityThrough_y='2mm' chip_dist='50um' coax_z0='7.5482500000000003mm' coaxCenter_h='2.2000000000000006mm' coaxCenter_r='0.14349999999999999mm' coaxCut_y='1mm' coaxIso_r='0.46999999999999997mm' coaxOuter_r='0.59499999999999997mm' coaxPos_x='6.5mm' coaxPos_y='5.25mm' coaxRecess_h='2.2000000000000006mm' coaxRecess_r='0.59499999999999997mm' Meshbox_big__length_var='100um' Meshbox_small__length_var='100um' stageRecess1_x='2.2000000000000002cm' stageRecess1_y='3.1000000000000001mm' stageRecess1_z='330um' stageRecess1_z0='7.6699999999999999mm' stageRecess2_x='6.0999999999999996mm' stageRecess2_y='6.0999999999999996mm' stageRecess2_z='710um' stageRecess2_z0='7.29mm' stageRecess3_x='25mm' stageRecess3_y='2.2000000000000006mm' stageRecess3_z='380.00000000000006um' stageRecess3_z0='7.6200000000000001mm' substrate_z='330um' total_x='25mm' total_y='10.5mm' wall_z='2.29mm' Z_Move_to_Origin='5mm'
Solution : Analysis2_0p2 : LastAdaptive
Parameter : Matrix_all
Capacitance Unit: pF

Capacitance
		bG1__Arm1__ex	bG1__Arm2__ex	bG1__phi1__ex	bG1__phi2__ex	bG1__phi3__ex	bG1__phi4__ex	qR7__Arm1__ex	qR7__Arm2__ex	qR7__phi1__ex	qR7__phi2__ex	qR7__phi3__ex	qR7__phi4__ex	qS16__Arm1__ex	qS16__Arm2__ex	qS16__phi1__ex	qS16__phi2__ex	qS16__phi3__ex	qS16__phi4__ex	bG1__Bondpad__ex	bG1__FBL__ex	bG1__Purcell__ex	Box__ex	qR7__BondPad__ex	qR7__Purcell__ex	qS16__Bondpad__ex	qS16__Purcell__ex
	bG1__Arm1__ex	0.094602	-0.005552	-0.015912	-0.0020611	-0.00014406	-0.0040167	-1.1823E-05	-1.2049E-08	-2.8771E-09	-2.1378E-09	-9.2366E-11	-1.3644E-08	-3.4258E-06	-0.0081369	-6.154E-07	-7.9547E-07	-1.2975E-08	-4.3298E-06	-0.0066265	-0.034824	-0.016978	-0.00032968	-9.7491E-12	-2.7014E-10	-2.5086E-09	-6.7271E-08
	bG1__Arm2__ex	-0.005552	0.089333	-0.0020082	-0.015346	-0.00013306	-0.0037853	-0.008149	-3.3684E-06	-8.0614E-07	-5.9883E-07	-2.5854E-08	-3.8118E-06	-1.013E-08	-9.6837E-06	-1.8167E-09	-2.3478E-09	-3.8327E-11	-1.281E-08	-0.0062264	-0.03207	-0.015748	-0.00029655	-2.7223E-09	-7.5424E-08	-7.4241E-12	-1.991E-10
	bG1__phi1__ex	-0.015912	-0.0020082	0.032756	-0.0049992	-0.00024445	-0.0045319	-2.0671E-06	-2.1056E-09	-5.0338E-10	-3.7397E-10	-1.6152E-11	-2.3835E-09	-2.5773E-09	-2.4629E-06	-4.6271E-10	-5.9807E-10	-9.7579E-12	-3.2581E-09	-0.00021118	-0.0028841	-0.0019599	-4.3107E-07	-1.7026E-12	-4.7175E-11	-1.8879E-12	-5.0627E-11
	bG1__phi2__ex	-0.0020611	-0.015346	-0.0049992	0.032115	-0.00022205	-0.0045174	-2.8992E-06	-2.953E-09	-7.061E-10	-5.2457E-10	-2.2655E-11	-3.3426E-09	-1.7897E-09	-1.7105E-06	-3.2127E-10	-4.1524E-10	-6.7754E-12	-2.2626E-09	-0.00021051	-0.0028306	-0.0019228	-4.2997E-07	-2.3876E-12	-6.6155E-11	-1.3111E-12	-3.5159E-11
	bG1__phi3__ex	-0.00014406	-0.00013306	-0.00024445	-0.00022205	0.0014536	-0.00037124	-1.4669E-07	-1.4945E-10	-3.5711E-11	-2.6532E-11	-1.1461E-12	-1.692E-10	-1.3152E-10	-1.2567E-07	-2.3598E-11	-3.05E-11	-4.9776E-13	-1.6629E-10	-1.4667E-05	-0.00011519	-0.00020856	-2.5669E-08	-1.2088E-13	-3.3493E-12	-9.6363E-14	-2.5842E-12
	bG1__phi4__ex	-0.0040167	-0.0037853	-0.0045319	-0.0045174	-0.00037124	0.029234	-4.2715E-06	-4.352E-09	-1.0397E-09	-7.725E-10	-3.3371E-11	-4.9274E-09	-3.793E-09	-3.6242E-06	-6.8051E-10	-8.7951E-10	-1.4355E-11	-4.7961E-09	-0.00044034	-0.0029005	-0.0086623	-7.4391E-07	-3.5203E-12	-9.7541E-11	-2.7794E-12	-7.4537E-11
	qR7__Arm1__ex	-1.1823E-05	-0.008149	-2.0671E-06	-2.8992E-06	-1.4669E-07	-4.2715E-06	0.11455	-0.01123	-0.014801	-0.0028589	-0.0001379	-0.015273	-3.183E-11	-3.0435E-08	-5.705E-12	-7.3725E-12	-1.2039E-13	-4.0262E-11	-3.8565E-05	-0.00014065	-5.7943E-05	-0.061566	-9.8597E-06	-0.00026837	-2.3336E-14	-6.2584E-13
	qR7__Arm2__ex	-1.2049E-08	-3.3684E-06	-2.1056E-09	-2.953E-09	-1.4945E-10	-4.352E-09	-0.01123	0.10658	-0.0029652	-0.014623	-0.00013263	-0.015301	-3.2452E-14	-3.103E-11	-5.8166E-15	-7.5167E-15	-1.2274E-16	-4.105E-14	-3.9346E-08	-1.431E-07	-5.9091E-08	-0.062046	-9.8738E-06	-0.00026913	-2.3792E-17	-6.3808E-16
	qR7__phi1__ex	-2.8771E-09	-8.0614E-07	-5.0338E-10	-7.061E-10	-3.5711E-11	-1.0397E-09	-0.014801	-0.0029652	0.030583	-0.0037142	-0.0001951	-0.0079038	-7.7419E-15	-7.4026E-12	-1.3876E-15	-1.7932E-15	-2.9282E-17	-9.7928E-15	-9.374E-09	-3.4377E-08	-1.4088E-08	-0.00094576	-2.1145E-06	-5.5445E-05	-5.6759E-18	-1.5222E-16
	qR7__phi2__ex	-2.1378E-09	-5.9883E-07	-3.7397E-10	-5.2457E-10	-2.6532E-11	-7.725E-10	-0.0028589	-0.014623	-0.0037142	0.029975	-0.00015651	-0.0076477	-5.753E-15	-5.5009E-12	-1.0311E-15	-1.3325E-15	-2.1759E-17	-7.277E-15	-6.9668E-09	-2.5526E-08	-1.0469E-08	-0.00091871	-2.0405E-06	-5.3558E-05	-4.2178E-18	-1.1312E-16
